model,n_total,n_train,n_test,degree,alpha,original_mae,corrected_mae,mae_reduction,original_rmse,corrected_rmse,rmse_reduction,original_max_abs_error,corrected_max_abs_error,max_abs_error_reduction,improved_fraction,residual_mae_scaled,residual_rmse_scaled,residual_r2
Heston,7290,5467,1823,2,1.0,0.2877633279551988,0.14463136929382614,0.4973947155756294,0.4397191315528326,0.1950398661951937,0.5564444387342753,2.0253741955184803,1.3343154986169348,0.34120050429725146,0.6544157981349424,0.0014463136929382518,0.0019503986619519272,0.8032497913433437
SABR,3645,2733,912,2,1.0,0.3697456668319809,0.22193804570039372,0.3997548433711696,0.8828749819722409,0.33259457585488067,0.6232823642687182,8.460505839726387,2.597312995148478,0.6930073633478545,0.41118421052631576,0.0022193804570039433,0.0033259457585488087,0.8323532941949445
