T,Delta_Original_MAE,Delta_Corrected_MAE,Delta_MAE_Reduction,Delta_Improved_Fraction,Rho_Original_MAE,Rho_Corrected_MAE,Rho_MAE_Reduction,Rho_Improved_Fraction,Theta_T_Original_MAE,Theta_T_Corrected_MAE,Theta_T_MAE_Reduction,Theta_T_Improved_Fraction,Vega_Original_MAE,Vega_Corrected_MAE,Vega_MAE_Reduction,Vega_Improved_Fraction
0.5,0.0014933402920751509,0.0012101771888316406,0.1896172659012808,0.5666666666666667,0.03996091105998878,0.03996091105998404,1.1857181902996672e-13,0.13333333333333333,0.04275310738381806,0.02437603603891995,0.4298417698605408,0.6,0.13013484502022896,0.06288691302131835,0.5167557696668956,0.6
1.0,0.002535026761977258,0.0012176347012090828,0.5196758000852986,0.5333333333333333,0.1315284539686569,0.13152845396865717,-2.220446049250313e-15,0.0,0.04998779854094188,0.010677661827454171,0.7863946375092161,0.7,0.29243648247335263,0.10161624932227649,0.6525185624487329,0.7
2.0,0.004184295409112406,0.0011648539228345939,0.7216128860553637,0.7,0.38500187685207765,0.38500187685222564,-3.843592111252292e-13,0.0,0.06643862795420614,0.017432493901348968,0.7376150826991101,0.7,0.7400466863013532,0.12533133631093588,0.8306440139103604,0.7666666666666667
