sigma,Delta_Original_MAE,Delta_Corrected_MAE,Delta_MAE_Reduction,Delta_Improved_Fraction,Rho_Original_MAE,Rho_Corrected_MAE,Rho_MAE_Reduction,Rho_Improved_Fraction,Theta_T_Original_MAE,Theta_T_Corrected_MAE,Theta_T_MAE_Reduction,Theta_T_Improved_Fraction,Vega_Original_MAE,Vega_Corrected_MAE,Vega_MAE_Reduction,Vega_Improved_Fraction
0.1,0.0006737489015446483,0.0010746650459066375,-0.5950527614113239,0.36666666666666664,0.049507360338724,0.04950736033872185,4.340972026284362e-14,0.1,0.0046823656445815435,0.020870614219050072,-3.4572798886822627,0.2,0.10376706799609621,0.1401155020528096,-0.35028872607329364,0.3
0.2,0.0019889480068290555,0.0011975620021642773,0.3978917507886347,0.6,0.16514053154645844,0.1651405315464561,1.4099832412739488e-14,0.03333333333333333,0.02526501938359189,0.011730156852927175,0.5357155015465689,0.8,0.27767695118011226,0.08302895292398307,0.7009872350905813,0.8
0.4,0.00554996555479111,0.001320438764804403,0.762081628837406,0.8333333333333334,0.3418433499955409,0.34184334999568894,-4.3298697960381105e-13,0.0,0.12923214885079265,0.019885420695745844,0.846126363504913,1.0,0.7811739946187262,0.06669004367773805,0.9146284385589564,0.9666666666666667
