S0,K,r,sigma,T,n,option_type,mc_price,mc_se,mc_time,cv_price,cv_se,cv_beta,cv_plain_mc_price,cv_plain_mc_std,geo_analytical,variance_reduction,cv_time,mc_cv_plain_diff,mc_cv_std_diff,tw_price,tw_time,levy_price,levy_time,cv_error_vs_mc,tw_error_vs_mc,levy_error_vs_mc,cv_abs_error_vs_mc,tw_abs_error_vs_mc,levy_abs_error_vs_mc,mc_error_vs_cv,tw_error_vs_cv,levy_error_vs_cv,mc_abs_error_vs_cv,tw_abs_error_vs_cv,levy_abs_error_vs_cv
100,70,0.05,0.1,1.0,180,call,30.97139473369462,0.018049361801403905,0.17011720803566277,30.96873495693409,0.00025324655643911434,1.0074836603212833,30.971394733694623,0.018049361801403905,30.877227651437973,5079.682916567976,0.1388732499908656,-3.552713678800501e-15,0.0,30.96863929281932,0.00019304093439131975,30.955091283539463,4.915986210107803e-06,-0.002659776760530974,-0.0027554408753012183,-0.01630345015515644,0.002659776760530974,0.0027554408753012183,0.01630345015515644,0.002659776760530974,-9.566411477024417e-05,-0.013643673394625466,0.002659776760530974,9.566411477024417e-05,0.013643673394625466
100,70,0.05,0.1,1.0,252,call,30.966241256144563,0.018034552309201823,0.21163124998565763,30.965082642635807,0.0002558029562523857,1.0076294526894543,30.96624125614456,0.018034552309201823,30.873358909647674,4970.494679505739,0.19345654209610075,3.552713678800501e-15,0.0,30.964768305026276,0.00031758297700434923,30.955091283539463,4.875008016824722e-06,-0.0011586135087569005,-0.001472951118287824,-0.01114997260510009,0.0011586135087569005,0.001472951118287824,0.01114997260510009,0.0011586135087569005,-0.0003143376095309236,-0.009991359096343189,0.0011586135087569005,0.0003143376095309236,0.009991359096343189
100,70,0.05,0.2,1.0,4,call,31.608745091195406,0.04309728302068293,0.0035894160391762853,31.572884273561648,0.0010517814125171358,1.008870530634004,31.608745091195406,0.04309728302068293,31.25830483162158,1678.9926717630067,0.004477792070247233,0.0,0.0,31.573931145702808,1.7291982658207417e-05,30.956375595570243,3.999914042651653e-06,-0.03586081763375759,-0.03481394549259775,-0.6523694956251624,0.03586081763375759,0.03481394549259775,0.6523694956251624,0.03586081763375759,0.001046872141159838,-0.6165086779914049,0.03586081763375759,0.001046872141159838,0.6165086779914049
100,70,0.05,0.2,1.0,6,call,31.329656463665803,0.04067167694664209,0.0046496669529005885,31.36619532062441,0.0010133302687040612,1.0096881143745953,31.329656463665795,0.04067167694664209,31.0400834782119,1610.950246816432,0.005375499953515828,7.105427357601002e-15,0.0,31.366790740414633,1.5832949429750443e-05,30.956375595570243,2.9159709811210632e-06,0.03653885695860737,0.037134276748830075,-0.37328086809555927,0.03653885695860737,0.037134276748830075,0.37328086809555927,-0.03653885695860737,0.0005954197902227065,-0.40981972505416664,0.03653885695860737,0.0005954197902227065,0.40981972505416664
100,70,0.05,0.2,1.0,8,call,31.252003022581945,0.0394403823868512,0.005800209008157253,31.26360213767139,0.0010004703338060681,1.0099653537233946,31.252003022581945,0.0394403823868512,30.933282388908772,1554.0815448607505,0.006458374904468656,0.0,0.0,31.263754632997014,1.5459023416042328e-05,30.956375595570243,2.5830231606960297e-06,0.011599115089445888,0.011751610415068114,-0.2956274270117021,0.011599115089445888,0.011751610415068114,0.2956274270117021,-0.011599115089445888,0.00015249532562222612,-0.30722654210114797,0.011599115089445888,0.00015249532562222612,0.30722654210114797
100,70,0.05,0.2,1.0,12,call,31.187443687684407,0.038238413096754686,0.008925792062655091,31.16062732201484,0.000982786369802971,1.0105319304123483,31.187443687684397,0.038238413096754686,30.827969724772323,1513.8452134590234,0.008477249997667968,1.0658141036401503e-14,0.0,31.161028762126904,1.8291990272700787e-05,30.956375595570243,2.6669586077332497e-06,-0.026816365669567688,-0.026414925557503466,-0.2310680921141639,0.026816365669567688,0.026414925557503466,0.2310680921141639,0.026816365669567688,0.0004014401120642219,-0.20425172644459622,0.026816365669567688,0.0004014401120642219,0.20425172644459622
100,70,0.05,0.2,1.0,18,call,31.099832113942817,0.03743084617548565,0.012748208013363183,31.090785352426405,0.0009702153356258214,1.0107457662140589,31.09983211394281,0.037430846175485644,30.758569479955884,1488.4115111372785,0.01212916593067348,7.105427357601002e-15,6.938893903907228e-18,31.092700666521203,2.0249979570508003e-05,30.956375595570243,3.291061148047447e-06,-0.00904676151641226,-0.007131447421613757,-0.14345651837257378,0.00904676151641226,0.007131447421613757,0.14345651837257378,0.00904676151641226,0.0019153140947985037,-0.13440975685616152,0.00904676151641226,0.0019153140947985037,0.13440975685616152
100,70,0.05,0.2,1.0,26,call,31.086427056274502,0.03702934008892773,0.018403292051516473,31.04847080802897,0.0009649576846646782,1.0109499066569538,31.086427056274506,0.03702934008892773,30.71617733732439,1472.5681627542203,0.017844250076450408,-3.552713678800501e-15,0.0,31.050709593409653,2.2709020413458347e-05,30.956375595570243,3.4170225262641907e-06,-0.03795624824553201,-0.03571746286484867,-0.13005146070425866,0.03795624824553201,0.03571746286484867,0.13005146070425866,0.03795624824553201,0.002238785380683339,-0.09209521245872665,0.03795624824553201,0.002238785380683339,0.09209521245872665
100,70,0.05,0.2,1.0,36,call,31.077239841385364,0.03671610487053425,0.028063917066901922,31.023270401321184,0.000969285154839482,1.0111476823100618,31.077239841385364,0.03671610487053424,30.689803019224044,1434.8618232153901,0.024455167003907263,0.0,6.938893903907228e-18,31.024486020898223,3.808399196714163e-05,30.956375595570243,3.7080608308315277e-06,-0.05396944006417925,-0.0527538204871405,-0.12086424581512034,0.05396944006417925,0.0527538204871405,0.12086424581512034,0.05396944006417925,0.0012156195770387512,-0.06689480575094109,0.05396944006417925,0.0012156195770387512,0.06689480575094109
100,70,0.05,0.2,1.0,52,call,31.044915561902844,0.036445434528496794,0.038873584009706974,31.001760960133854,0.000960403504484183,1.0110743281314387,31.044915561902844,0.036445434528496794,30.668769964711355,1440.0540499515864,0.03395841596648097,0.0,0.0,31.00351828483166,5.4916017688810825e-05,30.956375595570243,4.749977961182594e-06,-0.043154601768989664,-0.04139727707118368,-0.08853996633260053,0.043154601768989664,0.04139727707118368,0.08853996633260053,0.043154601768989664,0.0017573246978059842,-0.045385364563610864,0.043154601768989664,0.0017573246978059842,0.045385364563610864
100,70,0.05,0.2,1.0,78,call,31.011049249104225,0.036335943420800175,0.05875924997963011,30.987203759792337,0.0009710335444009569,1.0111613445514467,31.011049249104225,0.036335943420800175,30.653033708779436,1400.2462410371838,0.05172104202210903,0.0,0.0,30.987798798607415,5.1541952416300774e-05,30.956375595570243,4.459056071937084e-06,-0.023845489311888457,-0.023250450496810515,-0.05467365353398179,0.023845489311888457,0.023250450496810515,0.05467365353398179,0.023845489311888457,0.0005950388150779418,-0.030828164222093335,0.023845489311888457,0.0005950388150779418,0.030828164222093335
100,70,0.05,0.2,1.0,126,call,30.992718469304215,0.036233022029060265,0.10853566601872444,30.97435033588229,0.0009536537249622198,1.0109811289712523,30.992718469304208,0.03623302202906026,30.641066262870734,1443.536259380059,0.0881234579719603,7.105427357601002e-15,6.938893903907228e-18,30.975825605212187,7.466692477464676e-05,30.956375595570243,4.041939973831177e-06,-0.018368133421926558,-0.016892864092028503,-0.036342873733971715,0.018368133421926558,0.016892864092028503,0.036342873733971715,0.018368133421926558,0.0014752693298980546,-0.017974740312045157,0.018368133421926558,0.0014752693298980546,0.017974740312045157
