S0,K,moneyness,log_moneyness,r,T,sigma,sigma2,n,inv_n,inv_sqrt_n,option_type,cv_mc_price,cv_mc_se,tw_price,tw_residual,tw_abs_residual,tw_rel_residual,scaled_tw_residual,scaled_tw_abs_residual
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.3,0.09,126,0.007936507936507936,0.0890870806374748,call,24.20205306137857,0.0003010833897863339,24.201684082047322,-0.0003689793312489087,0.0003689793312489087,-1.5245786393127233e-05,-4.612241640611359e-06,4.612241640611359e-06
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.4,0.16000000000000003,12,0.08333333333333333,0.2886751345948129,call,24.241283218382932,0.0005388092793962201,24.24278576214931,0.0015025437663780394,0.0015025437663780394,6.19828477247695e-05,1.8781797079725494e-05,1.8781797079725494e-05
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.4,0.16000000000000003,26,0.038461538461538464,0.19611613513818404,call,24.219324699316058,0.000542092328349029,24.219376681226663,5.1981910605292114e-05,5.1981910605292114e-05,2.146298926607151e-06,6.497738825661514e-07,6.497738825661514e-07
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.4,0.16000000000000003,52,0.019230769230769232,0.1386750490563073,call,24.208720287316265,0.0005392328042333115,24.20943369737182,0.0007134100555568068,0.0007134100555568068,2.946913538137683e-05,8.917625694460085e-06,8.917625694460085e-06
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.4,0.16000000000000003,126,0.007936507936507936,0.0890870806374748,call,24.202618794611794,0.0005326528964817566,24.203616673255027,0.0009978786432327524,0.0009978786432327524,4.123019296799854e-05,1.2473483040409406e-05,1.2473483040409406e-05
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.5,0.25,12,0.08333333333333333,0.2886751345948129,call,24.26414214481172,0.0008424699255391387,24.270203410343775,0.006061265532053994,0.006061265532053994,0.0002498034134435717,7.576581915067493e-05,7.576581915067493e-05
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.5,0.25,26,0.038461538461538464,0.19611613513818404,call,24.23497482051654,0.0008364192752739449,24.240887719187082,0.005912898670541011,0.005912898670541011,0.00024398204307335793,7.391123338176264e-05,7.391123338176264e-05
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.5,0.25,52,0.019230769230769232,0.1386750490563073,call,24.22386509325179,0.0008348570259544375,24.22869027480681,0.004825181555020208,0.004825181555020208,0.00019919123296159672,6.03147694377526e-05,6.03147694377526e-05
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.5,0.25,126,0.007936507936507936,0.0890870806374748,call,24.21493556140012,0.0008286914361532996,24.221624487658662,0.006688926258540562,0.006688926258540562,0.00027623142921772055,8.361157823175703e-05,8.361157823175703e-05
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.6,0.36,12,0.08333333333333333,0.2886751345948129,call,24.330588473792087,0.0011856885212721147,24.352703450332694,0.02211497654060679,0.02211497654060679,0.0009089371826919902,0.0002764372067575849,0.0002764372067575849
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.6,0.36,26,0.038461538461538464,0.19611613513818404,call,24.288287656563135,0.0011724720882601738,24.31008842922248,0.021800772659343437,0.021800772659343437,0.000897583764142075,0.000272509658241793,0.000272509658241793
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.6,0.36,52,0.019230769230769232,0.1386750490563073,call,24.269362501452765,0.001164098523968748,24.292562879143098,0.02320037769033334,0.02320037769033334,0.000955953321350924,0.00029000472112916675,0.00029000472112916675
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.6,0.36,126,0.007936507936507936,0.0890870806374748,call,24.26211809569589,0.001170103395629945,24.282473577704867,0.020355482008977077,0.020355482008977077,0.0008389820677935019,0.00025444352511221345,0.00025444352511221345
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.1,0.010000000000000002,12,0.08333333333333333,0.2886751345948129,call,16.33852859774646,3.442111845531083e-05,16.33851212801026,-1.6469736198843066e-05,1.6469736198843066e-05,-1.008030564093434e-06,-2.0587170248553833e-07,2.0587170248553833e-07
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.1,0.010000000000000002,26,0.038461538461538464,0.19611613513818404,call,16.316208052944347,3.406738602598077e-05,16.316210215049928,2.1621055807941048e-06,2.1621055807941048e-06,1.325127489045435e-07,2.7026319759926308e-08,2.7026319759926308e-08
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.1,0.010000000000000002,52,0.019230769230769232,0.1386750490563073,call,16.306665133321903,3.393667328882041e-05,16.30665352846614,-1.1604855764346667e-05,1.1604855764346667e-05,-7.116633394667982e-07,-1.4506069705433334e-07,1.4506069705433334e-07
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.1,0.010000000000000002,126,0.007936507936507936,0.0890870806374748,call,16.301013933245294,3.385324173532233e-05,16.301041228153505,2.729490821096192e-05,2.729490821096192e-05,1.6744300889955685e-06,3.41186352637024e-07,3.41186352637024e-07
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04000000000000001,12,0.08333333333333333,0.2886751345948129,call,16.338779367160704,0.00013614822523138232,16.338606722416348,-0.00017264474435663146,0.00017264474435663146,-1.0566563173233734e-05,-2.158059304457893e-06,2.158059304457893e-06
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04000000000000001,26,0.038461538461538464,0.19611613513818404,call,16.31631427530755,0.00013507594064585848,16.31626601637857,-4.825892898097095e-05,4.825892898097095e-05,-2.9577101891205943e-06,-6.032366122621368e-07,6.032366122621368e-07
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04000000000000001,52,0.019230769230769232,0.1386750490563073,call,16.30659424545713,0.0001343210527079731,16.306697372389575,0.00010312693244429738,0.00010312693244429738,6.324247166021661e-06,1.2890866555537173e-06,1.2890866555537173e-06
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04000000000000001,126,0.007936507936507936,0.0890870806374748,call,16.30100694525437,0.00013447765027182777,16.30107911081077,7.216555639999456e-05,7.216555639999456e-05,4.427061263292311e-06,9.02069454999932e-07,9.02069454999932e-07
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,12,0.08333333333333333,0.2886751345948129,call,16.350238350222288,0.00030017145498639417,16.351859969551665,0.0016216193293772108,0.0016216193293772108,9.91801645114956e-05,2.0270241617215135e-05,2.0270241617215135e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,26,0.038461538461538464,0.19611613513818404,call,16.323933769129777,0.00029480522783487914,16.326351739636696,0.0024179705069187207,0.0024179705069187207,0.00014812425369498556,3.0224631336484008e-05,3.0224631336484008e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,52,0.019230769230769232,0.1386750490563073,call,16.313387248196968,0.0002958867612823433,16.315603933730255,0.002216685533287688,0.002216685533287688,0.00013588137764170873,2.7708569166096096e-05,2.7708569166096096e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,126,0.007936507936507936,0.0890870806374748,call,16.308179027086172,0.00029640362874823375,16.309340401970562,0.001161374884389943,0.001161374884389943,7.121425895932473e-05,1.4517186054874286e-05,1.4517186054874286e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16000000000000003,12,0.08333333333333333,0.2886751345948129,call,16.43157986679036,0.0005133099689314224,16.442802823057736,0.011222956267374684,0.011222956267374684,0.0006830113938135216,0.00014028695334218356,0.00014028695334218356
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16000000000000003,26,0.038461538461538464,0.19611613513818404,call,16.391987673383746,0.0005071593582840983,16.40307982845115,0.011092155067405685,0.011092155067405685,0.0006766815158979415,0.00013865193834257107,0.00013865193834257107
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16000000000000003,52,0.019230769230769232,0.1386750490563073,call,16.375057970755673,0.0005011195196999834,16.386621222359768,0.01156325160409466,0.01156325160409466,0.0007061502698033527,0.00014454064505118325,0.00014454064505118325
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16000000000000003,126,0.007936507936507936,0.0890870806374748,call,16.366560994633204,0.0005016924391179603,16.37711220886951,0.010551214236304673,0.010551214236304673,0.0006446812033245436,0.0001318901779538084,0.0001318901779538084
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.5,0.25,12,0.08333333333333333,0.2886751345948129,call,16.63314508639686,0.0007703176125086772,16.66199286749378,0.02884778109692121,0.02884778109692121,0.0017343551653688086,0.0003605972637115151,0.0003605972637115151
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.5,0.25,26,0.038461538461538464,0.19611613513818404,call,16.568526733083726,0.0007606082870009072,16.59796010427683,0.029433371193103852,0.029433371193103852,0.0017764627879877724,0.00036791713991379815,0.00036791713991379815
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.5,0.25,52,0.019230769230769232,0.1386750490563073,call,16.542682031528205,0.0007612100846824074,16.57137369460871,0.028691663080504526,0.028691663080504526,0.001734402137804616,0.0003586457885063066,0.0003586457885063066
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.5,0.25,126,0.007936507936507936,0.0890870806374748,call,16.525255576094473,0.0007515508439476233,16.55600305012383,0.030747474029357846,0.030747474029357846,0.0018606353098609449,0.0003843434253669731,0.0003843434253669731
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,12,0.08333333333333333,0.2886751345948129,call,16.95606879447235,0.0010935934295776093,17.00831478312723,0.05224598865487806,0.05224598865487806,0.003081255996785656,0.0006530748581859757,0.0006530748581859757
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,26,0.038461538461538464,0.19611613513818404,call,16.861750631729244,0.0010712127900067282,16.91474278209608,0.05299215036683691,0.05299215036683691,0.0031427430949619224,0.0006624018795854614,0.0006624018795854614
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,52,0.019230769230769232,0.1386750490563073,call,16.823463547531638,0.0010752896223588633,16.875631710690406,0.052168163158768266,0.052168163158768266,0.0031009169432546753,0.0006521020394846033,0.0006521020394846033
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,126,0.007936507936507936,0.0890870806374748,call,16.797014784237145,0.0010543237142122016,16.852947380279744,0.0559325960425987,0.0559325960425987,0.003329912889943256,0.0006991574505324838,0.0006991574505324838
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.1,0.010000000000000002,12,0.08333333333333333,0.2886751345948129,call,8.437973698242393,3.416223555382256e-05,8.437962914055612,-1.0784186780909977e-05,1.0784186780909977e-05,-1.2780540881700416e-06,-1.3480233476137471e-07,1.3480233476137471e-07
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.1,0.010000000000000002,26,0.038461538461538464,0.19611613513818404,call,8.41563302275505,3.404709124495061e-05,8.41563282051794,-2.0223711061362337e-07,2.0223711061362337e-07,-2.4031122800482618e-08,-2.527963882670292e-09,2.527963882670292e-09
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.1,0.010000000000000002,52,0.019230769230769232,0.1386750490563073,call,8.406051876425119,3.375192871773998e-05,8.406067175157139,1.5298732019886074e-05,1.5298732019886074e-05,1.8199664057262799e-06,1.9123415024857592e-07,1.9123415024857592e-07
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.1,0.010000000000000002,126,0.007936507936507936,0.0890870806374748,call,8.400451251949212,3.396402496837591e-05,8.400450339854828,-9.12094384020179e-07,9.12094384020179e-07,-1.0857683196584703e-07,-1.1401179800252237e-08,1.1401179800252237e-08
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.2,0.04000000000000001,12,0.08333333333333333,0.2886751345948129,call,8.496630443294107,0.00012408102562774023,8.499758985829859,0.003128542535751677,0.003128542535751677,0.00036820979288570245,3.910678169689596e-05,3.910678169689596e-05
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.2,0.04000000000000001,26,0.038461538461538464,0.19611613513818404,call,8.464602000500237,0.00012322615105462857,8.467708994363033,0.0031069938627954485,0.0031069938627954485,0.00036705728900329076,3.883742328494311e-05,3.883742328494311e-05
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.2,0.04000000000000001,52,0.019230769230769232,0.1386750490563073,call,8.451215125471604,0.0001227760818730505,8.454260979449822,0.003045853978218105,0.003045853978218105,0.000360404265303581,3.807317472772631e-05,3.807317472772631e-05
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.2,0.04000000000000001,126,0.007936507936507936,0.0890870806374748,call,8.443375721769675,0.00012295050004618434,8.446443347163488,0.0030676253938128895,0.0030676253938128895,0.00036331740939865885,3.834531742266112e-05,3.834531742266112e-05
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.3,0.09,12,0.08333333333333333,0.2886751345948129,call,8.801341412970903,0.000259174907582197,8.813853981880454,0.012512568909551547,0.012512568909551547,0.0014216661213836397,0.00015640711136939435,0.00015640711136939435
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.3,0.09,26,0.038461538461538464,0.19611613513818404,call,8.74029859868488,0.00025578416373779367,8.753303064475762,0.01300446579088188,0.01300446579088188,0.0014878743150535628,0.0001625558223860235,0.0001625558223860235
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.3,0.09,52,0.019230769230769232,0.1386750490563073,call,8.71389422849657,0.00025069061715474904,8.727834499433966,0.013940270937395027,0.013940270937395027,0.0015997750915781057,0.00017425338671743783,0.00017425338671743783
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.3,0.09,126,0.007936507936507936,0.0890870806374748,call,8.698810408302034,0.00025137983539721596,8.713015952209352,0.014205543907317875,0.014205543907317875,0.0016330444325766986,0.00017756929884147344,0.00017756929884147344
80,72.0,0.9,-0.10536051565782628,0.05,0.25,0.4,0.16000000000000003,12,0.08333333333333333,0.2886751345948129,call,9.320643966207935,0.0004440825237268856,9.346378315430137,0.025734349222201303,0.025734349222201303,0.0027610054965624027,0.0003216793652775163,0.0003216793652775163
