S0,K,moneyness,log_moneyness,r,T,sigma,sigma2,n,inv_n,option_type,cv_mc_price,cv_mc_se,tw_price,tw_residual,tw_abs_residual,tw_rel_residual
100,70,0.7,-0.35667494393873245,0.05,0.25,0.1,0.010000000000000002,12,0.08333333333333333,call,30.298911584516144,4.3078682903117474e-05,30.29891816495162,6.580435474745627e-06,6.580435474745627e-06,2.1718388980376678e-07
100,70,0.7,-0.35667494393873245,0.05,0.25,0.1,0.010000000000000002,26,0.038461538461538464,call,30.271010290497472,4.275646096146097e-05,30.27104077375123,3.0483253759427953e-05,3.0483253759427953e-05,1.007011443189166e-06
100,70,0.7,-0.35667494393873245,0.05,0.25,0.1,0.010000000000000002,52,0.019230769230769232,call,30.259130260229167,4.2804294885222684e-05,30.25909491552148,-3.534470768684628e-05,3.534470768684628e-05,-1.1680675347533467e-06
100,70,0.7,-0.35667494393873245,0.05,0.25,0.1,0.010000000000000002,126,0.007936507936507936,call,30.25206794865188,4.233906342439342e-05,30.252079540130694,1.1591478813244294e-05,1.1591478813244294e-05,3.831631884775283e-07
100,70,0.7,-0.35667494393873245,0.05,0.25,0.2,0.04000000000000001,12,0.08333333333333333,call,30.298666631972072,0.00016855628418868405,30.29891816630213,0.00025153433005797865,0.00025153433005797865,8.301828364702755e-06
100,70,0.7,-0.35667494393873245,0.05,0.25,0.2,0.04000000000000001,26,0.038461538461538464,call,30.271314547067313,0.00016938138905089672,30.271040774152176,-0.00027377291513630553,0.00027377291513630553,-9.043971800782886e-06
100,70,0.7,-0.35667494393873245,0.05,0.25,0.2,0.04000000000000001,52,0.019230769230769232,call,30.259250174844734,0.0001680319219932504,30.25909491575122,-0.00015525909351410405,0.00015525909351410405,-5.1309630151765884e-06
100,70,0.7,-0.35667494393873245,0.05,0.25,0.2,0.04000000000000001,126,0.007936507936507936,call,30.252065966817923,0.00016778374197348853,30.252079540294517,1.357347659336483e-05,1.357347659336483e-05,4.4867932683516364e-07
100,70,0.7,-0.35667494393873245,0.05,0.25,0.3,0.09,12,0.08333333333333333,call,30.29900590965827,0.0003826740582450882,30.298988623490196,-1.728616807383787e-05,1.728616807383787e-05,-5.705193142434961e-07
100,70,0.7,-0.35667494393873245,0.05,0.25,0.3,0.09,26,0.038461538461538464,call,30.27107666555245,0.00037987788014553787,30.27108004280939,3.377256941661244e-06,3.377256941661244e-06,1.1156712326339083e-07
100,70,0.7,-0.35667494393873245,0.05,0.25,0.3,0.09,52,0.019230769230769232,call,30.258950564233913,0.0003790841004204406,30.259124974156574,0.00017440992266060107,0.00017440992266060107,5.763911814798813e-06
100,70,0.7,-0.35667494393873245,0.05,0.25,0.3,0.09,126,0.007936507936507936,call,30.25256632672319,0.0003763542372329174,30.252105102559153,-0.00046122416403804323,0.00046122416403804323,-1.5245786392363915e-05
100,70,0.7,-0.35667494393873245,0.05,0.25,0.4,0.16000000000000003,12,0.08333333333333333,call,30.301604022978676,0.0006735115992452745,30.30348220268663,0.0018781797079547857,0.0018781797079547857,6.198284772418324e-05
100,70,0.7,-0.35667494393873245,0.05,0.25,0.4,0.16000000000000003,26,0.038461538461538464,call,30.27415587414507,0.000677615410436286,30.274220851533336,6.49773882663851e-05,6.49773882663851e-05,2.1462989269298675e-06
100,70,0.7,-0.35667494393873245,0.05,0.25,0.4,0.16000000000000003,52,0.019230769230769232,call,30.260900359145325,0.0006740410052916393,30.261792121714777,0.0008917625694522258,0.0008917625694522258,2.9469135381582293e-05
100,70,0.7,-0.35667494393873245,0.05,0.25,0.4,0.16000000000000003,126,0.007936507936507936,call,30.25327349326473,0.0006658161206021957,30.25452084156879,0.0012473483040622568,0.0012473483040622568,4.1230192968703154e-05
100,70,0.7,-0.35667494393873245,0.05,0.25,0.6,0.36,12,0.08333333333333333,call,30.41535703775346,0.001493969206572885,30.440879312915886,0.025522275162426666,0.025522275162426666,0.0008391246280866211
100,70,0.7,-0.35667494393873245,0.05,0.25,0.6,0.36,26,0.038461538461538464,call,30.36196987199921,0.001481794653496713,30.387610536528122,0.025640664528911117,0.025640664528911117,0.0008444993732952012
100,70,0.7,-0.35667494393873245,0.05,0.25,0.6,0.36,52,0.019230769230769232,call,30.342307696296675,0.0014768193236393181,30.365703598928878,0.023395902632202592,0.023395902632202592,0.0007710653674195683
100,70,0.7,-0.35667494393873245,0.05,0.25,0.6,0.36,126,0.007936507936507936,call,30.32698442508148,0.0014666636312943774,30.35309197213109,0.026107547049608826,0.026107547049608826,0.0008608685480781587
100,80,0.8,-0.2231435513142097,0.05,0.25,0.1,0.010000000000000002,12,0.08333333333333333,call,20.423107572164596,4.2939689503615414e-05,20.423140160012817,3.258784822079974e-05,3.258784822079974e-05,1.5956361247009695e-06
100,80,0.8,-0.2231435513142097,0.05,0.25,0.1,0.010000000000000002,26,0.038461538461538464,call,20.395202755412296,4.239028857207949e-05,20.39526276881243,6.001340013384038e-05,6.001340013384038e-05,2.9425253013439428e-06
100,80,0.8,-0.2231435513142097,0.05,0.25,0.1,0.010000000000000002,52,0.019230769230769232,call,20.3832231155335,4.228255688098326e-05,20.383316910582664,9.379504916395831e-05,9.379504916395831e-05,4.601580850698713e-06
100,80,0.8,-0.2231435513142097,0.05,0.25,0.1,0.010000000000000002,126,0.007936507936507936,call,20.376238563637067,4.223345411979543e-05,20.376301535191892,6.297155482570815e-05,6.297155482570815e-05,3.0904405947663786e-06
100,80,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04000000000000001,12,0.08333333333333333,call,20.423313643344834,0.00016960763510275945,20.423258403020434,-5.5240324400074314e-05,5.5240324400074314e-05,-2.7047679610049467e-06
100,80,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04000000000000001,26,0.038461538461538464,call,20.39529491523835,0.0001682025012315967,20.395332520473243,3.760523489404477e-05,3.760523489404477e-05,1.8438191283984824e-06
100,80,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04000000000000001,52,0.019230769230769232,call,20.383430983809195,0.0001677152926100861,20.383371715486973,-5.926832222158396e-05,5.926832222158396e-05,-2.9076715430616906e-06
100,80,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04000000000000001,126,0.007936507936507936,call,20.376184687783255,0.0001671739609725802,20.376348888513473,0.00016420073021805592,0.00016420073021805592,8.05846299167597e-06
100,80,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,12,0.08333333333333333,call,20.43771577305793,0.00037370434260060103,20.439824961939582,0.002109188881650681,0.002109188881650681,0.0001032008129025419
100,80,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,26,0.038461538461538464,call,20.40576751772223,0.00037073523779930647,20.407939674545872,0.0021721568236436894,0.0021721568236436894,0.00010644818048412982
100,80,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,52,0.019230769230769232,call,20.392039692794437,0.00036890959307486494,20.3945049171628,0.002465224368361163,0.002465224368361163,0.00012089150499409112
100,80,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,126,0.007936507936507936,call,20.384401650516462,0.0003697716819903825,20.38667550246319,0.002273851946728911,0.002273851946728911,0.00011154862358549044
100,80,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16000000000000003,12,0.08333333333333333,call,20.540028321628917,0.0006417044629389695,20.553503528822183,0.01347520719326667,0.01347520719326667,0.0006560461836889047
100,80,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16000000000000003,26,0.038461538461538464,call,20.48853946572101,0.0006286417863712937,20.503849785563947,0.015310319842935627,0.015310319842935627,0.000747262627897466
100,80,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16000000000000003,52,0.019230769230769232,call,20.468321059079752,0.0006307292920870427,20.483276527949698,0.014955468869946031,0.014955468869946031,0.0007306641725414885
100,80,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16000000000000003,126,0.007936507936507936,call,20.458374701602214,0.000629894612390116,20.471390261086896,0.013015559484681916,0.013015559484681916,0.0006361971405119778
100,80,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,12,0.08333333333333333,call,21.19598609442056,0.0013737117329725586,21.260393478909027,0.06440738448846517,0.06440738448846517,0.0030386594990935187
100,80,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,26,0.038461538461538464,call,21.075570457408578,0.0013448910183855532,21.143428477620112,0.06785802021153486,0.06785802021153486,0.0032197477334560648
100,80,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,52,0.019230769230769232,call,21.02526072686771,0.0013231855187919833,21.094539638362992,0.06927891149528165,0.06927891149528165,0.003295032218399636
100,80,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,126,0.007936507936507936,call,20.996338494974662,0.0013205459717496538,21.06618422534968,0.06984573037501818,0.06984573037501818,0.0033265671722588824
100,90,0.9,-0.10536051565782628,0.05,0.25,0.1,0.010000000000000002,12,0.08333333333333333,call,10.54746071745358,4.288791718964742e-05,10.547453642569513,-7.074884067037601e-06,7.074884067037601e-06,-6.707665718375536e-07
100,90,0.9,-0.10536051565782628,0.05,0.25,0.1,0.010000000000000002,26,0.038461538461538464,call,10.519552468691463,4.253697139837932e-05,10.51954102564744,-1.144304402345142e-05,1.144304402345142e-05,-1.0877881029167804e-06
100,90,0.9,-0.10536051565782628,0.05,0.25,0.1,0.010000000000000002,52,0.019230769230769232,call,10.507633722457205,4.263087878929363e-05,10.507583968946406,-4.975351079927748e-05,4.975351079927748e-05,-4.734987163945665e-06
100,90,0.9,-0.10536051565782628,0.05,0.25,0.1,0.010000000000000002,126,0.007936507936507936,call,10.5005167966279,4.217619472369206e-05,10.50056292481855,4.612819064853113e-05,4.612819064853113e-05,4.392944798997377e-06
100,90,0.9,-0.10536051565782628,0.05,0.25,0.2,0.04000000000000001,12,0.08333333333333333,call,10.620572713003368,0.00015584626562181085,10.624698732287325,0.00412601928395695,0.00412601928395695,0.00038849310629974137
100,90,0.9,-0.10536051565782628,0.05,0.25,0.2,0.04000000000000001,26,0.038461538461538464,call,10.580835230780723,0.00015425666324415932,10.584636242953778,0.0038010121730547297,0.0038010121730547297,0.0003592355508946212
100,90,0.9,-0.10536051565782628,0.05,0.25,0.2,0.04000000000000001,52,0.019230769230769232,call,10.564306268734388,0.00015499252003759126,10.56782622431226,0.0035199555778717695,0.0035199555778717695,0.00033319325361564543
100,90,0.9,-0.10536051565782628,0.05,0.25,0.2,0.04000000000000001,126,0.007936507936507936,call,10.553941749467983,0.00015250518285266375,10.558054183954356,0.004112434486373218,0.004112434486373218,0.00038965863030090373
100,90,0.9,-0.10536051565782628,0.05,0.25,0.3,0.09,12,0.08333333333333333,call,11.001441628774284,0.00032181892268092496,11.017317477350531,0.01587584857624691,0.01587584857624691,0.00144306983684062
100,90,0.9,-0.10536051565782628,0.05,0.25,0.3,0.09,26,0.038461538461538464,call,10.924772642602683,0.0003163652236512308,10.94162883059468,0.01685618799199773,0.01685618799199773,0.0015429326122783243
100,90,0.9,-0.10536051565782628,0.05,0.25,0.3,0.09,52,0.019230769230769232,call,10.892674804553051,0.00031329185303274914,10.90979312429244,0.01711831973938871,0.01711831973938871,0.0015715441841918744
100,90,0.9,-0.10536051565782628,0.05,0.25,0.3,0.09,126,0.007936507936507936,call,10.873816807819397,0.00031501691317227705,10.891269940261695,0.017453132442298624,0.017453132442298624,0.001605060371234875
100,90,0.9,-0.10536051565782628,0.05,0.25,0.4,0.16000000000000003,12,0.08333333333333333,call,11.651235020516319,0.0005505807323035307,11.682972894287657,0.03173787377133763,0.03173787377133763,0.0027239922390588926
100,90,0.9,-0.10536051565782628,0.05,0.25,0.4,0.16000000000000003,26,0.038461538461538464,call,11.531991822210093,0.0005394088737933233,11.565547995133157,0.03355617292306334,0.03355617292306334,0.0029098332222570323
100,90,0.9,-0.10536051565782628,0.05,0.25,0.4,0.16000000000000003,52,0.019230769230769232,call,11.480982377692289,0.0005347570219175386,11.51581271720812,0.03483033951583181,0.03483033951583181,0.003033742093665055
100,90,0.9,-0.10536051565782628,0.05,0.25,0.4,0.16000000000000003,126,0.007936507936507936,call,11.451699918118008,0.0005321077490111955,11.486775452498481,0.03507553438047317,0.03507553438047317,0.003062910714677332
