S0,K,moneyness,log_moneyness,r,T,sigma,sigma2,n,inv_n,inv_sqrt_n,option_type,cv_mc_price,cv_mc_se,tw_price,tw_residual,tw_abs_residual,tw_rel_residual,scaled_tw_residual,scaled_tw_abs_residual,cubic_predicted_scaled_tw_bias,cubic_predicted_tw_bias,tw_cubic_corrected_price,tw_cubic_corrected_error,tw_cubic_corrected_abs_error
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.1,0.01,12,0.0833333333333333,0.2886751345948129,call,24.23912926761291,3.4462946322493935e-05,24.239134531961295,5.264348384770301e-06,5.264348384770301e-06,2.171838901555333e-07,6.580435485403768e-08,6.580435485403768e-08,1.7481444688982282e-08,1.3985155751185826e-06,24.23913313344572,3.865832809424319e-06,3.865832809424319e-06
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.1,0.01,26,0.0384615384615384,0.196116135138184,call,24.21680823239798,3.420516876916882e-05,24.21683261900097,2.438660299119988e-05,2.438660299119988e-05,1.0070114425143252e-06,3.048325373899985e-07,3.048325373899985e-07,-1.0332480045827252e-08,-8.265984036661802e-07,24.216833445599374,2.5213201393370355e-05,2.5213201393370355e-05
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.1,0.01,52,0.0192307692307692,0.1386750490563073,call,24.207304208183345,3.424343590817815e-05,24.20727593241719,-2.8275766155161364e-05,2.8275766155161364e-05,-1.1680675349881654e-06,-3.5344707693951705e-07,3.5344707693951705e-07,-1.629922948173299e-07,-1.3039383585386392e-05,24.207288971800775,-1.5236382569838725e-05,1.5236382569838725e-05
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.1,0.01,126,0.0079365079365079,0.0890870806374748,call,24.20165435892151,3.3871250739514704e-05,24.201663632104555,9.273183046332178e-06,9.273183046332178e-06,3.8316318830137265e-07,1.1591478807915225e-07,1.1591478807915225e-07,-2.0758124611290245e-07,-1.6606499689032197e-05,24.201680238604244,2.587968273459751e-05,2.587968273459751e-05
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.2,0.04,12,0.0833333333333333,0.2886751345948129,call,24.238933305577635,0.0001348450273509,24.23913453304171,0.00020122746407480463,0.00020122746407480463,8.301828365875328e-06,2.5153433009350577e-06,2.5153433009350577e-06,-5.987775591410812e-07,-4.790220473128649e-05,24.23918243524644,0.0002491296688056366,0.0002491296688056366
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.2,0.04,26,0.0384615384615384,0.196116135138184,call,24.217051637653853,0.0001355051112407,24.21683261932173,-0.00021901833212467636,0.00021901833212467636,-9.043971801428376e-06,-2.7377291515584544e-06,2.7377291515584544e-06,-5.242134379073762e-08,-4.193707503259009e-06,24.216836813029232,-0.00021482462462074636,0.00021482462462074636
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.2,0.04,52,0.0192307692307692,0.1386750490563073,call,24.2074001398758,0.0001344255375946,24.207275932600975,-0.00012420727482620464,0.00012420727482620464,-5.130963015646223e-06,-1.5525909352831491e-06,1.5525909352831491e-06,3.3733318827333694e-07,2.6986655061866955e-05,24.207248945945913,-0.00015119392988793834,0.00015119392988793834
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.2,0.04,126,0.0079365079365079,0.0890870806374748,call,24.201652773454327,0.0001342269935787,24.201663632235626,1.0858781298139775e-05,1.0858781298139775e-05,4.486793276572233e-07,1.3573476618233828e-07,1.3573476618233828e-07,-1.6989428898674837e-06,-0.0001359154311893987,24.201799547666816,0.000146774212488765,0.000146774212488765
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.3,0.09,12,0.0833333333333333,0.2886751345948129,call,24.239204727726605,0.000306139246596,24.239190898792167,-1.3828934438464557e-05,1.3828934438464557e-05,-5.705193133933967e-07,-1.7286168048080698e-07,1.7286168048080698e-07,1.3549758546087812e-06,0.00010839806836870249,24.239082500723796,-0.000122227002808728,0.000122227002808728
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.3,0.09,26,0.0384615384615384,0.196116135138184,call,24.216861332441972,0.0003039023041164,24.21686403424751,2.701805538407598e-06,2.701805538407598e-06,1.1156712264723341e-07,3.377256923009497e-08,3.377256923009497e-08,3.4558677557267905e-06,0.00027646942045814324,24.21658756482705,-0.0002737676149209278,0.0002737676149209278
