model,S0,K,moneyness,log_moneyness,r,T,n,inv_n,inv_sqrt_n,v0,theta,kappa,xi,rho,sigma_eff,tw_price,mc_price,mc_std_error,residual,scaled_residual,terminal_mean,average_mean,variance_mean,option_type,n_paths,seed
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.6,-0.8,0.11600040503622644,20.838471197368328,20.849905052405205,0.02164811305200111,-0.011433855036877105,-0.00011433855036877105,102.50949015857528,101.36485325089957,0.0251957883426375,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.6,-0.4,0.11600040503622644,20.838471197368328,20.838114588897717,0.022194567692098804,0.0003566084706108086,3.566084706108086e-06,102.52046741590999,101.36067324733503,0.0251957883426375,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.6,0.0,0.11600040503622644,20.838471197368328,20.832305971416346,0.022678857942565425,0.006165225951981768,6.165225951981768e-05,102.53350595270403,101.35858505704509,0.0251957883426375,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.1,-0.8,0.14503924722344388,20.838585787217976,20.854542253854685,0.024113568075043584,-0.01595646663670891,-0.0001595646663670891,102.55764367633894,101.3824652827761,0.029453056788492003,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.1,-0.4,0.14503924722344388,20.838585787217976,20.850725783288482,0.024153244514762483,-0.012139996070505532,-0.00012139996070505532,102.56743683930132,101.37853584476959,0.029453056788492003,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.1,0.0,0.14503924722344388,20.838585787217976,20.845235260939553,0.024154046228575695,-0.006649473721576982,-6.649473721576981e-05,102.56842302016003,101.37291475571529,0.029453056788492003,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.3,-0.8,0.14503924722344388,20.838585787217976,20.846361988026587,0.023775214440965326,-0.007776200808610412,-7.776200808610411e-05,102.52897736354932,101.372176209645,0.029718074381028026,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.3,-0.4,0.14503924722344388,20.838585787217976,20.84293988071498,0.02399724757782508,-0.00435409349700322,-4.3540934970032195e-05,102.54237263408999,101.37010710449346,0.029718074381028026,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.3,0.0,0.14503924722344388,20.838585787217976,20.840198939184916,0.024175680684058756,-0.0016131519669393413,-1.6131519669393413e-05,102.55174182764236,101.36767719636673,0.029718074381028026,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.6,-0.8,0.14503924722344388,20.838585787217976,20.854557797042524,0.024313341950014108,-0.01597200982454794,-0.0001597200982454794,102.51180111060806,101.36865209521403,0.034505509791442325,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.6,-0.4,0.14503924722344388,20.838585787217976,20.844983855699073,0.024848706111978047,-0.006398068481097141,-6.39806848109714e-05,102.53142093269985,101.36723721905788,0.034505509791442325,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,2.0,0.6,0.0,0.14503924722344388,20.838585787217976,20.839724930114752,0.02531094821887453,-0.0011391428967755246,-1.1391428967755246e-05,102.54890686630132,101.36603343881808,0.034505509791442325,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.1,-0.8,0.13862269144281375,20.838522564302245,20.852177191707923,0.022954072654683796,-0.013654627405678355,-0.00013654627405678354,102.55221399995267,101.38004207473885,0.027868385432092854,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.1,-0.4,0.13862269144281375,20.838522564302245,20.84853811639443,0.023003285705040146,-0.010015552092184521,-0.0001001555209218452,102.56151436301697,101.3763061218627,0.027868385432092854,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.1,0.0,0.13862269144281375,20.838522564302245,20.84363306938352,0.023016499079853047,-0.0051105050812765285,-5.1105050812765284e-05,102.5633666872195,101.37128455351079,0.027868385432092854,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.3,-0.8,0.13862269144281375,20.838522564302245,20.843413987002368,0.022643547487170772,-0.004891422700122661,-4.8914227001226606e-05,102.52154491991028,101.36904295016039,0.02843117717879045,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.3,-0.4,0.13862269144281375,20.838522564302245,20.84024380655885,0.022886294475841736,-0.001721242256603972,-1.721242256603972e-05,102.53450147718351,101.36732906299105,0.02843117717879045,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.3,0.0,0.13862269144281375,20.838522564302245,20.83831169377526,0.023088018133590214,0.00021087052698476327,2.108705269847633e-06,102.54520832761061,101.36575757911909,0.02843117717879045,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.6,-0.8,0.13862269144281375,20.838522564302245,20.854291961110214,0.023432243861249716,-0.015769396807968405,-0.00015769396807968405,102.50769146370251,101.36682101679374,0.035404577437486554,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.6,-0.4,0.13862269144281375,20.838522564302245,20.843038859736176,0.024015268892252667,-0.004516295433930395,-4.516295433930395e-05,102.52371660515735,101.36438114205748,0.035404577437486554,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,0.5,0.6,0.0,0.13862269144281375,20.838522564302245,20.836916889544337,0.024529445026449867,0.001605674757907849,1.605674757907849e-05,102.54002321063805,101.36296988539488,0.035404577437486554,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.1,-0.8,0.19857078157099395,20.84553727077201,20.866354002212734,0.03059352023142786,-0.020816731440724823,-0.00020816731440724822,102.57869294722309,101.3934843624115,0.06185680074257681,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.1,-0.4,0.19857078157099395,20.84553727077201,20.861365767676382,0.030632433059089862,-0.015828496904372713,-0.00015828496904372714,102.59296620521616,101.3889092861164,0.06185680074257681,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.1,0.0,0.19857078157099395,20.84553727077201,20.853227797761125,0.030621372474191146,-0.007690526989115654,-7.690526989115654e-05,102.59245090451991,101.38087136951842,0.06185680074257681,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.09,2.0,0.3,-0.8,0.19857078157099395,20.84553727077201,20.861985821934677,0.0300718596435972,-0.016448551162667968,-0.00016448551162667968,102.54973578274053,101.38332921078097,0.06195091505876731,call,50000,42
