model,S0,K,moneyness,log_moneyness,r,T,n,inv_n,inv_sqrt_n,alpha0,beta,nu,rho,sigma_eff,tw_price,mc_price,mc_std_error,residual,scaled_residual,terminal_mean,average_mean,alpha_terminal_mean,option_type,n_paths,seed
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.1,-0.8,0.010000000000000002,20.838470011562116,20.818002322044897,0.0019335773764350846,0.020467689517218446,0.00020467689517218447,102.4924989227315,101.3450125599053,0.09999522521651119,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.1,-0.4,0.010000000000000002,20.838470011562116,20.82837026310815,0.001929625921726379,0.010099748453963997,0.00010099748453963997,102.51339175259736,101.35564296664616,0.09999522521651119,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.1,0.0,0.010000000000000002,20.838470011562116,20.83868868703345,0.0019238839378101804,-0.00021867547133425091,-2.186754713342509e-06,102.53376397414604,101.36622260271676,0.09999522521651119,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.3,-0.8,0.010000000000000002,20.838470011562116,20.774897169326785,0.0019662756431091406,0.063572842235331,0.00063572842235331,102.41028459641531,101.30081619505091,0.10000155227767007,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.3,-0.4,0.010000000000000002,20.838470011562116,20.806691698472896,0.001945075396994804,0.03177831308921952,0.0003177831308921952,102.47194022817109,101.33341560653437,0.10000155227767007,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.3,0.0,0.010000000000000002,20.838470011562116,20.838497464457223,0.001933692994056394,-2.7452895107415998e-05,-2.7452895107416e-07,102.53323992200303,101.36602653931797,0.10000155227767007,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.6,-0.8,0.010000000000000002,20.838470011562116,20.710359231003,0.002083992221030428,0.1281107805591155,0.001281107805591155,102.28723512788685,101.23464447104007,0.10004977353447321,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.6,-0.4,0.010000000000000002,20.838470011562116,20.77422490334866,0.0020032630455212243,0.06424510821345564,0.0006424510821345564,102.40991157614985,101.30012691057853,0.10004977353447321,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.5,0.6,0.0,0.010000000000000002,20.838470011562116,20.838224051528258,0.0019715351698578135,0.00024596003385823906,2.4596003385823905e-06,102.5325464367258,101.36574620490775,0.10004977353447321,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.7,0.1,-0.8,0.025118864315095798,20.838470011562116,20.78705613754496,0.004859455820416718,0.05141387401715747,0.0005141387401715747,102.43347696272869,101.31328296901498,0.09999522521651119,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.7,0.1,-0.4,0.025118864315095798,20.838470011562116,20.813111022980568,0.004851091014146491,0.025358988581547948,0.0002535898858154795,102.48600485677801,101.33999743701564,0.09999522521651119,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.7,0.1,0.0,0.025118864315095798,20.838470011562116,20.839042653341153,0.004837947020119719,-0.0005726417790370419,-5.72641779037042e-06,102.5372319080835,101.36658552972419,0.09999522521651119,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.7,0.3,-0.8,0.025118864315095798,20.838470011562116,20.67878888706666,0.004934831546466999,0.15968112449545657,0.0015968112449545658,102.22694938644175,101.20227492004197,0.10000155227767007,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.7,0.3,-0.4,0.025118864315095798,20.838470011562116,20.75861185059302,0.0048865483078704185,0.07985816096909559,0.000798581609690956,102.38173954393858,101.28411861151062,0.10000155227767007,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.7,0.3,0.0,0.025118864315095798,20.838470011562116,20.83855443502101,0.0048625956363387325,-8.4423458893923e-05,-8.442345889392299e-07,102.53589009179066,101.36608495209845,0.10000155227767007,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.7,0.6,-0.8,0.025118864315095798,20.838470011562116,20.51706000566289,0.005217917405252772,0.3214100058992244,0.0032141000589922444,101.91884383592607,101.03645185251318,0.10004977353447321,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.1,0.7,0.6,-0.4,0.025118864315095798,20.838470011562116,20.677085233758152,0.0050268874040247415,0.16138477780396343,0.0016138477780396343,102.22596735024086,101.20052813854464,0.10004977353447321,call,50000,42
