method,mae,rmse,max_abs_error,mae_reduction,rmse_reduction,max_error_reduction,improved_fraction
Original TW,0.07488492450122866,0.12826162194255805,0.5545588179243452,0.0,0.0,0.0,
Polynomial Ridge Corrected TW,0.011538307297876181,0.013757350897518837,0.03529902327619183,0.8459194908090364,0.8927399272739583,0.9363475574902724,0.7333333333333333
Cubic Interpolation Corrected TW,0.003505096890837832,0.006474990945553342,0.07088725216415526,0.9531935577930599,0.9495173158775961,0.8721736092314271,0.8864197530864197
